index,result_raw,result,apply_for_raw,apply_for,major,degree,gpa,TOEFL,GRE,from_raw,from
1810257,AD无奖,Offer,Johns Hopkins University,top5,Statistics,MS,93.575,106,329,浙江大学,985
1810257,AD无奖,Offer,Duke University,top10,Statistics,MS,93.575,106,329,浙江大学,985
1810257,AD无奖,Offer,University of Illinois at Urbana-Champai,top40,Statistics,MS,93.575,106,329,浙江大学,985
1808444,AD无奖,Offer,Columbia University,top20,Statistics,MA,87.6,106,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1808444,AD无奖,Offer,University of Virginia,else,Statistics,MS,87.6,106,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1808444,AD无奖,Offer,University of Minnesota - Twin Cities,top20,Statistics,MS,87.6,106,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1808444,AD无奖,Offer,University of North Carolina at Chapel H,top20,Statistics,MS,87.6,106,322,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,985
1806270,AD无奖,Offer,Columbia University,top20,Statistics,MA,87,99,322,211 & 985,211 & 985
1806270,AD无奖,Offer,University of Minnesota - Twin Cities,top20,Statistics,MS,87,99,322,211 & 985,211 & 985
1806270,AD无奖,Offer,Miami University,else,Statistics,MS,87,99,322,211 & 985,211 & 985
